iter	Passed	Remaining
0	1	138
1	2	117
2	3	108
3	4	97
4	4	94
5	5	91
6	6	88
7	7	86
8	8	84
9	9	83
10	10	82
11	10	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	18	71
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	61
31	28	60
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	40	47
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	47	40
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	87	0
